Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Area code,Area code_reference,Area code_sort,Area code_hierarchy,Area name,Area name_reference,Area name_sort,Area name_hierarchy,Indicator,Indicator_reference,Indicator_sort,Indicator_hierarchy,Notes
3.3,3.3,Percentage,Percentage,,,W01000555,W01000555,512,,Camrose 1,W01000555,512,W06000009,Residential properties in disrepair,hquad,6,hqua,
44.5,44.5,Percentage,Percentage,,,W01000555,W01000555,512,,Camrose 1,W01000555,512,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
86.4,86.4,Percentage,Percentage,,,W01000555,W01000555,512,,Camrose 1,W01000555,512,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
20.7,20.7,Percentage,Percentage,,,W01000555,W01000555,512,,Camrose 1,W01000555,512,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
43.3,43.3,Percentage,Percentage,,,W01000555,W01000555,512,,Camrose 1,W01000555,512,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.5,1.5,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,Overcrowded households,ovcr,1,,
23.3,23.3,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,Poor quality housing (residential properties),hqua,3,,
22.5,22.5,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
2.6,2.6,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,Residential properties in disrepair,hquad,6,hqua,
48,48,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
87.5,87.5,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
20.5,20.5,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
44.9,44.9,Percentage,Percentage,,,W01000556,W01000556,513,,Camrose 2,W01000556,513,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.7,1.7,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,Overcrowded households,ovcr,1,,
19.5,19.5,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,Poor quality housing (residential properties),hqua,3,,
18,18,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
2.8,2.8,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,Residential properties in disrepair,hquad,6,hqua,
51.7,51.7,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
88.1,88.1,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
21.5,21.5,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
44.4,44.4,Percentage,Percentage,,,W01000557,W01000557,514,,Carew,W01000557,514,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.4,1.4,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,Overcrowded households,ovcr,1,,
39.2,39.2,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,Poor quality housing (residential properties),hqua,3,,
37.9,37.9,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3.7,3.7,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,Residential properties in disrepair,hquad,6,hqua,
52.6,52.6,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
87.6,87.6,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
23.3,23.3,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
44.7,44.7,Percentage,Percentage,,,W01000558,W01000558,515,,Cilgerran,W01000558,515,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.8,1.8,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,Overcrowded households,ovcr,1,,
41.3,41.3,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,Poor quality housing (residential properties),hqua,3,,
39.9,39.9,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
4.3,4.3,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,Residential properties in disrepair,hquad,6,hqua,
50.8,50.8,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
88.1,88.1,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
21,21,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
45.1,45.1,Percentage,Percentage,,,W01000559,W01000559,516,,Clydau,W01000559,516,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
2.1,2.1,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,Overcrowded households,ovcr,1,,
41.7,41.7,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,Poor quality housing (residential properties),hqua,3,,
40.8,40.8,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3.9,3.9,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,Residential properties in disrepair,hquad,6,hqua,
51.8,51.8,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
88.4,88.4,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
23.5,23.5,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
47.1,47.1,Percentage,Percentage,,,W01000560,W01000560,517,,Crymych 1,W01000560,517,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.6,1.6,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,Overcrowded households,ovcr,1,,
36.7,36.7,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,Poor quality housing (residential properties),hqua,3,,
36,36,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3.6,3.6,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,Residential properties in disrepair,hquad,6,hqua,
49.9,49.9,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
90.9,90.9,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
20.6,20.6,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
42.3,42.3,Percentage,Percentage,,,W01000561,W01000561,518,,Crymych 2,W01000561,518,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.7,1.7,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,Overcrowded households,ovcr,1,,
40.8,40.8,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,Poor quality housing (residential properties),hqua,3,,
38.7,38.7,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
4.6,4.6,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,Residential properties in disrepair,hquad,6,hqua,
48.5,48.5,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
86.7,86.7,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
20.9,20.9,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
43.4,43.4,Percentage,Percentage,,,W01000562,W01000562,519,,Dinas Cross,W01000562,519,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
0.7,0.7,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,Overcrowded households,ovcr,1,,
33.3,33.3,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,Poor quality housing (residential properties),hqua,3,,
31.9,31.9,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3.8,3.8,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,Residential properties in disrepair,hquad,6,hqua,
49.7,49.7,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
88.2,88.2,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
20.2,20.2,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
44.4,44.4,Percentage,Percentage,,,W01000563,W01000563,520,,East Williamston 1,W01000563,520,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
2,2,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,Overcrowded households,ovcr,1,,
6.3,6.3,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,Poor quality housing (residential properties),hqua,3,,
6.3,6.3,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
1.3,1.3,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,Residential properties in disrepair,hquad,6,hqua,
50.8,50.8,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
91,91,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
21.3,21.3,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
42.3,42.3,Percentage,Percentage,,,W01000564,W01000564,521,,East Williamston 2,W01000564,521,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
2,2,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,Overcrowded households,ovcr,1,,
15.1,15.1,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,Poor quality housing (residential properties),hqua,3,,
14.1,14.1,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
1.6,1.6,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,Residential properties in disrepair,hquad,6,hqua,
49,49,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
89.7,89.7,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
22,22,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
39.2,39.2,Percentage,Percentage,,,W01000565,W01000565,522,,Fishguard: North East,W01000565,522,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
2.1,2.1,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,Overcrowded households,ovcr,1,,
17,17,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,Poor quality housing (residential properties),hqua,3,,
16.2,16.2,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
1.1,1.1,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,Residential properties in disrepair,hquad,6,hqua,
54.8,54.8,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
91.4,91.4,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
25.7,25.7,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
43.8,43.8,Percentage,Percentage,,,W01000566,W01000566,523,,Fishguard: North West,W01000566,523,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.6,1.6,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,Overcrowded households,ovcr,1,,
19,19,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,Poor quality housing (residential properties),hqua,3,,
18.1,18.1,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
1.4,1.4,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,Residential properties in disrepair,hquad,6,hqua,
56.5,56.5,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
91.3,91.3,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
27.2,27.2,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
45.6,45.6,Percentage,Percentage,,,W01000567,W01000567,524,,Goodwick,W01000567,524,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
0.4,0.4,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,Overcrowded households,ovcr,1,,
9.6,9.6,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,Poor quality housing (residential properties),hqua,3,,
9.1,9.1,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
2,2,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,Residential properties in disrepair,hquad,6,hqua,
61.7,61.7,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
88.5,88.5,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
30.6,30.6,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
48.4,48.4,Percentage,Percentage,,,W01000569,W01000569,525,,Haverfordwest: Garth 1,W01000569,525,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
4.5,4.5,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,Overcrowded households,ovcr,1,,
6.8,6.8,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,Poor quality housing (residential properties),hqua,3,,
5.8,5.8,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
1.6,1.6,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,Residential properties in disrepair,hquad,6,hqua,
74.3,74.3,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
95.9,95.9,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
46,46,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
54.7,54.7,Percentage,Percentage,,,W01000570,W01000570,526,,Haverfordwest: Garth 2,W01000570,526,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.9,1.9,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,Overcrowded households,ovcr,1,,
11.6,11.6,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,Poor quality housing (residential properties),hqua,3,,
9.5,9.5,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3.1,3.1,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,Residential properties in disrepair,hquad,6,hqua,
59.9,59.9,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
92.2,92.2,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
26.7,26.7,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
45.2,45.2,Percentage,Percentage,,,W01000571,W01000571,527,,Haverfordwest: Portfield,W01000571,527,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
0.9,0.9,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,Overcrowded households,ovcr,1,,
13.1,13.1,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,Poor quality housing (residential properties),hqua,3,,
11.9,11.9,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3.3,3.3,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,Residential properties in disrepair,hquad,6,hqua,
57.7,57.7,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
91.9,91.9,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
25.3,25.3,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
45.8,45.8,Percentage,Percentage,,,W01000572,W01000572,528,,Haverfordwest: Prendergast,W01000572,528,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.1,1.1,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,Overcrowded households,ovcr,1,,
8.6,8.6,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,Poor quality housing (residential properties),hqua,3,,
7.5,7.5,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3,3,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,Residential properties in disrepair,hquad,6,hqua,
54.4,54.4,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
88.7,88.7,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
23,23,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
43.3,43.3,Percentage,Percentage,,,W01000573,W01000573,529,,Haverfordwest: Priory,W01000573,529,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
0.9,0.9,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,Overcrowded households,ovcr,1,,
33.8,33.8,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,Poor quality housing (residential properties),hqua,3,,
32.4,32.4,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
3.6,3.6,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,Residential properties in disrepair,hquad,6,hqua,
49.6,49.6,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
86.9,86.9,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
21.9,21.9,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
44.4,44.4,Percentage,Percentage,,,W01000574,W01000574,530,,Hundleton,W01000574,530,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
2.5,2.5,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,Overcrowded households,ovcr,1,,
12.3,12.3,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,Poor quality housing (residential properties),hqua,3,,
11.8,11.8,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
1.4,1.4,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,Residential properties in disrepair,hquad,6,hqua,
59,59,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
88.8,88.8,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
27.5,27.5,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
47.3,47.3,Percentage,Percentage,,,W01000575,W01000575,531,,Johnston (Pembrokeshire),W01000575,531,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.6,1.6,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,Overcrowded households,ovcr,1,,
14.4,14.4,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,Poor quality housing (residential properties),hqua,3,,
13.5,13.5,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,Residential properties containing serious hazards,hquah,5,hqua,
1.9,1.9,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,Residential properties in disrepair,hquad,6,hqua,
51.1,51.1,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,Households unable to afford to enter owner occupation (with head aged under 40),buyy,7,inaf,
87.3,87.3,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,"Households unable to afford to enter owner occupation (private renters, with head aged 40 to 65)",buyo,8,inaf,
22.8,22.8,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,Households unable to afford to enter private renting (with head aged under 40),renty,9,inaf,
44.4,44.4,Percentage,Percentage,,,W01000576,W01000576,532,,Kilgetty and Begelly,W01000576,532,W06000009,"Households unable to afford to enter private renting (private renters, with head aged 40 to 65)",rento,10,inaf,
1.9,1.9,Percentage,Percentage,,,W01000577,W01000577,533,,Lampeter Velfrey,W01000577,533,W06000009,Overcrowded households,ovcr,1,,
